CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_DATE,MODIFIED_DATE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
42802199020004,60271781010538,2004,54,27,1214,150,1,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:43,2,0,,0,,0,,
42802203020004,60271781010538,2004,54,27,1214,150,2,2,2004,2,,,,2012-06-06 07:13:27,2016-09-29 07:43:49,2,0,,0,,0,,
42802197020004,60271781010538,2004,54,27,1214,150,3,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:43,2,0,,0,,0,,
42802196020004,60271781010538,2004,54,27,1214,150,4,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:43,2,0,,0,,0,,
42802194020004,60271781010538,2004,54,27,1214,270,1,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:43,2,0,,0,,0,,
42802204020004,60271781010538,2004,54,27,1214,270,2,2,2004,2,,,,2012-06-06 07:13:27,2016-09-29 07:43:49,2,0,,0,,0,,
42802198020004,60271781010538,2004,54,27,1214,270,3,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:43,2,0,,0,,0,,
42802200020004,60271781010538,2004,54,27,1214,270,4,2,2004,1,,,,2012-06-06 07:13:27,2014-05-14 15:57:43,2,0,,0,,0,,
56707602010538,60272420010538,2004,54,31,598,30,1,2,2004,1,0.4,1.7,0.2,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707610010538,60272420010538,2004,54,31,598,30,2,2,2004,1,0.2,1.7,0.2,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707618010538,60272420010538,2004,54,31,598,30,3,2,2004,1,0.4,0.9,0.1,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707626010538,60272420010538,2004,54,31,598,30,4,2,2004,1,0.6,2.8,0.9,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707605010538,60272420010538,2004,54,31,598,150,1,2,2004,1,1.1,2.2,6.0,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707613010538,60272420010538,2004,54,31,598,150,2,2,2004,1,,,0.2,2005-10-31 11:59:19,2014-05-14 15:56:42,2,0,,0,,1,,
56707621010538,60272420010538,2004,54,31,598,150,3,2,2004,1,0.3,0.8,0.1,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707630010538,60272420010538,2004,54,31,598,150,4,2,2004,1,1.8,2.9,9.0,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707607010538,60272420010538,2004,54,31,598,270,1,2,2004,1,1.1,1.3,0.5,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707615010538,60272420010538,2004,54,31,598,270,2,2,2004,1,2.0,2.9,1.1,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707623010538,60272420010538,2004,54,31,598,270,3,2,2004,1,0.4,1.9,0.2,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56707634010538,60272420010538,2004,54,31,598,270,4,2,2004,1,1.1,2.1,0.3,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56706711010538,60271920010538,2004,54,31,2183,30,1,2,2004,1,0.6,1.1,12.0,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56706720010538,60271920010538,2004,54,31,2183,30,2,2,2004,2,0.4,0.9,0.7,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
56706731010538,60271920010538,2004,54,31,2183,30,3,2,2004,1,1.1,1.4,0.2,2005-10-31 11:59:19,2014-05-14 15:56:42,2,1,,1,,1,,
